,key_id,tournament_id,stage_number,stage_name,group_name,position,team_id,played,wins,draws,losses,goals_for,goals_against,points,advanced
238,239,WC-1990,1,group stage,Group F,1,T-28,3,1,2,0,2,1,4,1
239,240,WC-1990,1,group stage,Group F,2,T-60,3,0,3,0,2,2,3,1
240,241,WC-1990,1,group stage,Group F,3,T-48,3,0,3,0,2,2,3,1
241,242,WC-1990,1,group stage,Group F,4,T-26,3,0,2,1,1,2,2,0
242,243,WC-1991,1,group stage,Group A,1,T-14,3,2,1,0,10,3,5,1
243,244,WC-1991,1,group stage,Group A,2,T-53,3,2,0,1,6,5,4,1
244,245,WC-1991,1,group stage,Group A,3,T-22,3,1,1,1,6,4,3,1
245,246,WC-1991,1,group stage,Group A,4,T-49,3,0,0,3,1,11,0,0
246,247,WC-1991,1,group stage,Group B,1,T-83,3,3,0,0,11,2,6,1
247,248,WC-1991,1,group stage,Group B,2,T-74,3,2,0,1,12,3,4,1
248,249,WC-1991,1,group stage,Group B,3,T-09,3,1,0,2,1,7,2,0
249,250,WC-1991,1,group stage,Group B,4,T-44,3,0,0,3,0,12,0,0
250,251,WC-1991,1,group stage,Group C,1,T-31,3,3,0,0,9,0,6,1
251,252,WC-1991,1,group stage,Group C,2,T-41,3,2,0,1,6,2,4,1
252,253,WC-1991,1,group stage,Group C,3,T-15,3,1,0,2,2,8,2,1
253,254,WC-1991,1,group stage,Group C,4,T-50,3,0,0,3,0,7,0,0
254,255,WC-1994,1,group stage,Group A,1,T-61,3,2,0,1,5,5,6,1
255,256,WC-1994,1,group stage,Group A,2,T-75,3,1,1,1,5,4,4,1
256,257,WC-1994,1,group stage,Group A,3,T-83,3,1,1,1,3,3,4,1
257,258,WC-1994,1,group stage,Group A,4,T-16,3,1,0,2,4,5,3,0
258,259,WC-1994,1,group stage,Group B,1,T-09,3,2,1,0,6,1,7,1
259,260,WC-1994,1,group stage,Group B,2,T-74,3,1,2,0,6,4,5,1
260,261,WC-1994,1,group stage,Group B,3,T-62,3,1,0,2,7,6,3,0
261,262,WC-1994,1,group stage,Group B,4,T-11,3,0,1,2,3,11,1,0
262,263,WC-1994,1,group stage,Group C,1,T-31,3,2,1,0,5,3,7,1
263,264,WC-1994,1,group stage,Group C,2,T-73,3,1,2,0,6,4,5,1
264,265,WC-1994,1,group stage,Group C,3,T-71,3,0,2,1,4,5,2,0
265,266,WC-1994,1,group stage,Group C,4,T-07,3,0,1,2,1,4,1,0
266,267,WC-1994,1,group stage,Group D,1,T-50,3,2,0,1,6,2,6,1
267,268,WC-1994,1,group stage,Group D,2,T-10,3,2,0,1,6,3,6,1
268,269,WC-1994,1,group stage,Group D,3,T-03,3,2,0,1,6,3,6,1
269,270,WC-1994,1,group stage,Group D,4,T-33,3,0,0,3,0,10,0,0
270,271,WC-1994,1,group stage,Group E,1,T-46,3,1,1,1,3,3,4,1
271,272,WC-1994,1,group stage,Group E,2,T-60,3,1,1,1,2,2,4,1
272,273,WC-1994,1,group stage,Group E,3,T-41,3,1,1,1,2,2,4,1
273,274,WC-1994,1,group stage,Group E,4,T-53,3,1,1,1,1,1,4,0
274,275,WC-1994,1,group stage,Group F,1,T-48,3,2,0,1,4,3,6,1
275,276,WC-1994,1,group stage,Group F,2,T-63,3,2,0,1,4,3,6,1
276,277,WC-1994,1,group stage,Group F,3,T-06,3,2,0,1,2,1,6,1
277,278,WC-1994,1,group stage,Group F,4,T-47,3,0,0,3,2,5,0,0
278,279,WC-1995,1,group stage,Group A,1,T-31,3,2,0,1,9,4,6,1
279,280,WC-1995,1,group stage,Group A,2,T-74,3,2,0,1,5,3,6,1
280,281,WC-1995,1,group stage,Group A,3,T-44,3,1,0,2,2,4,3,1
281,282,WC-1995,1,group stage,Group A,4,T-09,3,1,0,2,3,8,3,0
282,283,WC-1995,1,group stage,Group B,1,T-53,3,3,0,0,17,0,9,1
283,284,WC-1995,1,group stage,Group B,2,T-28,3,2,0,1,6,6,6,1
284,285,WC-1995,1,group stage,Group B,3,T-12,3,0,1,2,5,13,1,0
285,286,WC-1995,1,group stage,Group B,4,T-50,3,0,1,2,5,14,1,0
286,287,WC-1995,1,group stage,Group C,1,T-83,3,2,1,0,9,4,7,1
287,288,WC-1995,1,group stage,Group C,2,T-14,3,2,1,0,10,6,7,1
288,289,WC-1995,1,group stage,Group C,3,T-22,3,1,0,2,6,5,3,1
289,290,WC-1995,1,group stage,Group C,4,T-04,3,0,0,3,3,13,0,0
290,291,WC-1998,1,group stage,Group A,1,T-09,3,2,0,1,6,3,6,1
291,292,WC-1998,1,group stage,Group A,2,T-53,3,1,2,0,5,4,5,1
292,293,WC-1998,1,group stage,Group A,3,T-47,3,1,1,1,5,5,4,0
293,294,WC-1998,1,group stage,Group A,4,T-64,3,0,1,2,2,6,1,0
294,295,WC-1998,1,group stage,Group B,1,T-41,3,2,1,0,7,3,7,1
295,296,WC-1998,1,group stage,Group B,2,T-13,3,0,3,0,4,4,3,1
296,297,WC-1998,1,group stage,Group B,3,T-05,3,0,2,1,3,4,2,0
297,298,WC-1998,1,group stage,Group B,4,T-11,3,0,2,1,2,5,2,0
298,299,WC-1998,1,group stage,Group C,1,T-30,3,3,0,0,9,1,9,1
299,300,WC-1998,1,group stage,Group C,2,T-22,3,1,1,1,3,3,4,1
300,301,WC-1998,1,group stage,Group C,3,T-70,3,0,2,1,3,6,2,0
301,302,WC-1998,1,group stage,Group C,4,T-63,3,0,1,2,2,7,1,0
302,303,WC-1998,1,group stage,Group D,1,T-50,3,2,0,1,5,5,6,1
303,304,WC-1998,1,group stage,Group D,2,T-55,3,1,2,0,3,1,5,1
304,305,WC-1998,1,group stage,Group D,3,T-73,3,1,1,1,8,4,4,0
305,306,WC-1998,1,group stage,Group D,4,T-10,3,0,1,2,1,7,1,0
306,307,WC-1998,1,group stage,Group E,1,T-48,3,1,2,0,7,2,5,1
307,308,WC-1998,1,group stage,Group E,2,T-46,3,1,2,0,7,5,5,1
308,309,WC-1998,1,group stage,Group E,3,T-06,3,0,3,0,3,3,3,0
309,310,WC-1998,1,group stage,Group E,4,T-71,3,0,1,2,2,9,1,0
310,311,WC-1998,1,group stage,Group F,1,T-31,3,2,1,0,6,2,7,1
311,312,WC-1998,1,group stage,Group F,2,T-87,3,2,1,0,4,2,7,1
