tournament_id,team_id,year,goals_for,goals_against,points
WC-1995,T-28,1995,6,6,6
WC-1995,T-31,1995,9,4,6
WC-1995,T-44,1995,2,4,3
WC-1995,T-50,1995,5,14,1
WC-1995,T-53,1995,17,0,9
WC-1995,T-74,1995,5,3,6
WC-1995,T-83,1995,9,4,7
WC-1998,T-03,1998,7,0,9
WC-1998,T-05,1998,3,4,2
WC-1998,T-06,1998,3,3,3
WC-1998,T-09,1998,6,3,6
WC-1998,T-10,1998,1,7,1
WC-1998,T-11,1998,2,5,2
WC-1998,T-13,1998,4,4,3
WC-1998,T-16,1998,1,3,3
WC-1998,T-18,1998,4,2,6
WC-1998,T-22,1998,3,3,4
WC-1998,T-28,1998,5,2,6
WC-1998,T-30,1998,9,1,9
WC-1998,T-31,1998,6,2,7
WC-1998,T-38,1998,2,4,3
WC-1998,T-41,1998,7,3,7
WC-1998,T-43,1998,3,9,3
WC-1998,T-44,1998,1,4,0
WC-1998,T-46,1998,7,5,5
WC-1998,T-47,1998,5,5,4
WC-1998,T-48,1998,7,2,5
WC-1998,T-50,1998,5,5,6
WC-1998,T-53,1998,5,4,5
WC-1998,T-55,1998,3,1,5
WC-1998,T-61,1998,4,2,7
WC-1998,T-63,1998,2,7,1
WC-1998,T-64,1998,2,6,1
WC-1998,T-70,1998,3,6,2
WC-1998,T-71,1998,2,9,1
WC-1998,T-73,1998,8,4,4
WC-1998,T-79,1998,1,4,1
WC-1998,T-83,1998,1,5,0
WC-1998,T-87,1998,4,2,7
WC-1999,T-04,1999,3,7,1
WC-1999,T-09,1999,12,4,7
WC-1999,T-12,1999,3,12,1
WC-1999,T-14,1999,12,2,9
WC-1999,T-22,1999,1,8,0
WC-1999,T-31,1999,10,4,5
WC-1999,T-32,1999,1,10,1
WC-1999,T-41,1999,3,3,4
WC-1999,T-44,1999,1,10,1
WC-1999,T-46,1999,1,15,0
WC-1999,T-50,1999,5,8,6
WC-1999,T-51,1999,4,6,3
WC-1999,T-53,1999,13,2,9
WC-1999,T-62,1999,10,3,6
WC-1999,T-74,1999,6,3,6
WC-1999,T-83,1999,13,1,9
WC-2002,T-03,2002,2,2,4
WC-2002,T-06,2002,6,5,5
WC-2002,T-09,2002,11,3,9
WC-2002,T-11,2002,2,3,4
WC-2002,T-14,2002,0,9,0
WC-2002,T-17,2002,5,6,4
WC-2002,T-18,2002,2,3,3
WC-2002,T-22,2002,5,2,7
WC-2002,T-25,2002,2,4,3
WC-2002,T-28,2002,2,1,5
WC-2002,T-30,2002,0,3,1
WC-2002,T-31,2002,11,1,7
WC-2002,T-41,2002,4,3,4
WC-2002,T-44,2002,5,2,7
WC-2002,T-46,2002,4,2,7
WC-2002,T-50,2002,1,3,1
WC-2002,T-55,2002,6,6,4
WC-2002,T-57,2002,3,7,3
WC-2002,T-58,2002,6,4,3
WC-2002,T-60,2002,5,2,5
WC-2002,T-62,2002,4,4,3
WC-2002,T-63,2002,0,12,0
WC-2002,T-65,2002,5,4,5
WC-2002,T-69,2002,2,7,0
WC-2002,T-70,2002,5,5,4
WC-2002,T-71,2002,4,1,7
WC-2002,T-73,2002,9,4,9
WC-2002,T-74,2002,4,3,5
WC-2002,T-79,2002,1,5,1
WC-2002,T-80,2002,5,3,4
WC-2002,T-83,2002,5,6,4
WC-2002,T-84,2002,4,5,2
WC-2003,T-03,2003,1,15,0
WC-2003,T-04,2003,3,5,1
WC-2003,T-09,2003,8,2,7
WC-2003,T-12,2003,7,5,6
WC-2003,T-14,2003,3,1,7
WC-2003,T-30,2003,2,3,4
WC-2003,T-31,2003,13,2,9
WC-2003,T-32,2003,2,5,3
WC-2003,T-44,2003,7,6,3
WC-2003,T-50,2003,0,11,0
WC-2003,T-51,2003,3,4,3
WC-2003,T-53,2003,10,5,6
WC-2003,T-62,2003,5,2,6
WC-2003,T-71,2003,1,11,0
WC-2003,T-74,2003,5,3,6
WC-2003,T-83,2003,11,1,9
WC-2006,T-02,2006,1,2,2
WC-2006,T-03,2006,8,1,7
WC-2006,T-04,2006,5,5,4
WC-2006,T-09,2006,7,1,9
WC-2006,T-17,2006,3,9,0
WC-2006,T-18,2006,2,3,2
WC-2006,T-20,2006,3,4,3
WC-2006,T-25,2006,5,3,6
WC-2006,T-28,2006,5,2,7
WC-2006,T-30,2006,3,1,5
WC-2006,T-31,2006,8,2,9
WC-2006,T-32,2006,4,3,6
WC-2006,T-38,2006,2,6,1
WC-2006,T-41,2006,5,1,7
WC-2006,T-42,2006,5,6,3
WC-2006,T-44,2006,2,7,1
WC-2006,T-46,2006,4,3,4
